,词语,次数
0,擦,7
1,华,4
2,妃,5
3,哈哈,1929
4,哈哈哈,1533
5,哈哈哈哈,1160
6,h,11
7,一个,39
8,熟人,2
9,吧,110
10,自古,10
11,红蓝,7
12,出,23
13,cp,5
14,啊,287
15,喂,3
16, ,191
17,太帅,5
18,古,27
19,娜拉,19
20,黑暗,22
21,之,41
22,神,36
23,呜呼,4
24,呼啦,4
25,黑,26
26,魔,10
27,变身,15
28,噗,10
29,笑,102
30,金,26
31,靖,16
32,客串,3
33,吗,136
34,没有,32
35,九粒,4
36,doge,31
37,潘,6
38,周,6
39,聃,4
40,前面,44
41,谁,42
42,说,45
43,气,9
44,纯,6
45,你,295
46,要,63
47,死,87
48,红,7
49,激光,2
50,以为,21
51,把,16
52,阿,109
53,泽,98
54,头,10
55,切,7
56,两半,2
57,这方,3
58,方言,4
59,猝不及防,6
60,不及,9
61,防,12
62,乌,4
63,漆,4
64,麻,8
65,！！！,57
66,,7
67,,3
68,自己,18
69,有,91
70,很,65
71,正,2
72,_,2
73,J,3
74,知,2
75,XD,2
76,经费,9
77,爆炸,4
78,你们,23
79,不要,30
80,再,12
81,打,28
82,啦,46
83,哇,29
84,哦,36
85,难道,6
86,是,394
87,情敌,12
88,够,5
89,hhhhh,3
90,朝,66
91,云,73
92,：（,2
93,委屈,2
94,可是,5
95,她,132
96,偷,4
97,伞,8
98,老婆,37
99,还,66
100,凶,3
101,具体,4
102,问题,11
103,具体分析,2
104,分析,2
105,王老吉,17
106,觉得,16
107,女妖,4
108,声音,7
109,可,18
110,啊啊啊,220
111,这个,125
112,姐姐,117
113,好,257
114,可爱,59
115,过来,7
116,别动,2
117,会,30
118,喔,4
119,”（,2
120,和蔼,2
121,微笑,4
122,卧槽,29
123,怎么,60
124,抿,2
125,唇,2
126,。。。,17
127,妖,48
128,搁,2
129,东北,6
130,北来,2
131,这,246
132,反派,8
133,真的,38
134,可以,43
135,能,29
136,灵性,3
137,有感,5
138,感觉,34
139,呀,36
140,表情,14
141,和,17
142,配音,9
143,妙,4
144,让,19
145,益,2
146,达,2
147,强大,2
148,照耀,2
149,光芒,2
150,！？,2
151,在,73
152,干什么,4
153,什么,91
154,他,39
155,那,37
156,魔仙,7
157,还以,7
158,美,32
159,瞳,4
160,掉,4
161,出来,18
162,修罗,14
163,修罗场,14
164,那个,36
165,看,99
166,对,52
167,呆子,8
168,不会,22
169,是不是,17
170,不是,59
171,嗅到,2
172,味道,6
173,聚聚,37
174,1,15
175,美的,2
176,下颚,2
177,线,7
178,呜呜,35
179,提,3
180,听成,3
181,三,11
182,吻,2
183,回忆,2
184,前,7
185,二条,2
186,啥,24
187,开,10
188,绯红,2
189,王,7
190,哇塞,10
191,第三,2
192,第三眼,2
193,三眼,2
194,………………,2
195,好家伙,20
196,家伙,22
197,直呼,5
198,妖精,5
199,就,83
200,收,12
201,给,51
202,不可,5
203,可能,11
204,外借,4
205,6154136155,2
206,纳,7
207,戒,8
208,里,9
209,多,22
210,只,10
211,怜香惜玉,3
212,眼睛,15
213,蛮,3
214,好看,117
215,诶,10
216,好像,25
217,缘分,7
218,一场,2
219,遥远,2
220,约定,3
221,指指,2
222,指指点点,2
223,指点,2
224,点点,5
225,好久,3
226,好久不见,2
227,不见,5
228,甚是,3
229,想念,3
230,好好,40
231,好好笑,8
232,好笑,8
233,比,41
234,野,8
235,hhhhhh,4
236,莫,4
237,辩,2
238,如,2
239,鲜肉,4
240,会心,2
241,心悸,7
242,慌神,2
243,嘛,26
244,哈哈笑,8
245,山东,2
246,老乡,2
247,小姐,14
248,小姐姐,14
249,好好看,17
250,特效,52
251,针,2
252,不,138
253,戳,6
254,又,27
255,抢,4
256,镜,3
257,火,8
258,高兴,5
259,霜,2
260,哀伤,2
261,憋,2
262,新,7
263,副本,3
264,咩,2
265,呼,2
266,一,42
267,听,9
268,那人,2
269,很熟,2
270,币,2
271,赞,14
272,来,68
273,起来,12
274,仙女,6
275,打架,2
276,真,28
277,帅气,3
278,无处,9
279,无处不在,9
280,不在,9
281,确实,11
282,实有,2
283,有点,57
284,有点像,17
285,nen,2
286,绝对,3
287,（？）,2
288,小钱,2
289,红衣,4
290,盲,6
291,猜,6
292,满分,3
293,哇哇,15
294,燃烧,4
295,现代,4
296,贪食,6
297,精,16
298,老,26
299,温柔,5
300,姐,15
301,假发,3
302,掉下来,3
303,下来,5
304,小,40
305,云云,20
306,豪华,2
307,O,4
308,(∩,2
309,_,2
310,∩),2
311,慌,3
312,太,54
313,61n61,2
314,挺到,2
315,到位,3
316,建模,2
317,催,5
318,更,11
319,气场,2
320,一整,3
321,整个,3
322,呆住,2
323,两个,7
324,小时,13
325,出息,4
326,丹,3
327,技术,2
328,指导,2
329,？？？,27
330,吉,175
331,帅,55
332,开朗,3
333,女,47
334,主,10
335,刘,3
336,诗,6
337,闪现,2
338,被,35
339,破防,7
340,吼,5
341,婧,5
342,大,41
343,boss,2
344,忍不住,5
345,不住,11
346,幻术,2
347,前任,2
348,,4
349,。。,8
350,电动,2
351,小野,2
352,野马,2
353,挑,3
354,眉,2
355,3,9
356,肉,2
357,太美,11
358,必须,3
359,早,6
360,,4
361,妈,10
362,也,126
363,想,50
364,吃,24
365,42,2
366,个,61
367,小伙,3
368,小伙伴,3
369,伙伴,3
370,不好,11
371,前女友,6
372,女友,7
373,[,21
374,Ohhhhhhhhhhhhhhhh,2
375,],19
376,宝贝,2
377,喜欢,40
378,sui,2
379,恁,6
380,接地,2
381,地气,2
382,祖传,2
383,吐血,7
384,从,13
385,这里,16
386,开始,10
387,为什么,38
388,偷人,2
389,反而,2
390,呢,34
391,法宝,2
392,都,81
393,放,6
394,身上,4
395,掉头,2
396,蛇,3
397,抿嘴,3
398,拒绝,5
399,还是,18
400,考虑,3
401,答应,2
402,!!,2
403,兴奋,4
404,怎么回事,5
405,回事,5
406,发现,4
407,现在,13
408,篇,3
409,活,3
410,成,6
411,样子,4
412,窑,4
413,鸡,7
414,看着,7
415,香,10
416,没给,2
417,人机,2
418,机会,2
419,坏,7
420,拉,12
421,低,2
422,大家,5
423,别误会,2
424,误会,3
425,老姐,2
426,思南,2
427,请,9
428,收下,3
429,膝盖,3
430,眼线,2
431,画,2
432,可怕,7
433,去,29
434,妖怪,14
435,唐,3
436,元,4
437,七,2
438,北方,3
439,就是,49
440,电影,4
441,打斗,2
442,模式,3
443,大话,2
444,大话西游,2
445,西游,2
446,游回,2
447,回合,2
448,回合制,2
449,这些,4
450,配角,6
451,一个个,3
452,个个,3
453,要么,4
454,颜,9
455,值,4
456,在线,6
457,可可,2
458,爱,50
459,主角,7
460,不用,11
461,不用说,2
462,简直,3
463,有种,5
464,大唐,9
465,双龙,2
466,双龙传,2
467,既,3
468,视,4
469,感,11
470,。。？,2
471,哪里,9
472,里弄,2
473,看看,3
474,背后,3
475,算了,4
476,算了算,2
477,狗命,2
478,要紧,2
479,哎,5
480,杀气,2
481,狠,2
482,咋,12
483,野上,2
484,波,5
485,左边,2
486,输,2
487,小美女,2
488,美女,4
489,滑稽,6
490,一模一样,2
491,一样,9
492,乾,2
493,字,4
494,障眼,2
495,障眼法,2
496,百花,2
497,缭乱,2
498,咋办,2
499,回不去,4
500,杀,9
501,上头,4
502,syt,2
503,僚机,2
504,每次,2
505,下,12
506,一部,3
507,支棱,2
508,天下,2
509,天下无敌,2
510,无敌,4
511,那种,2
512,可好,5
513,马,8
514,破,7
515,苍穹,3
516,租,2
517,生,5
518,一股,2
519,玩坏,2
520,自,3
521,♂,2
522,由,7
523,对象,4
524,挺好玩,2
525,好玩,3
526,玩儿,2
527,台词,5
528,蚌埠,4
529,住,7
530,完,11
531,一句,5
532,发,6
533,语音,2
534,人,50
535,如云,2
536,胖胖,2
537,bushi,7
538,带走,3
539,独占,2
540,清楚,2
541,杰,4
542,哥,8
543,neng,2
544,救命,12
545,带,16
546,口音,2
547,摔,2
548,屁,4
549,墩,2
550,儿,7
551,精华,2
552,偷吃,2
553,抓,3
554,包,2
555,竟是,6
556,同,13
557,宇宙,4
558,ying,2
559,白,26
560,胖,5
561,知道,17
562,时候,20
563,更新,8
564,死鬼,2
565,妹,106
566,勾搭,2
567,不能,13
568,注意,4
569,一下,18
570,发型,4
571,。。。。,4
572,视频,4
573,八分,2
574,八分钟,2
575,分钟,12
576,两,8
577,女子,7
578,为,8
579,争,2
580,大打出手,2
581,打出,3
582,打出手,2
583,出手,2
584,s,3
585,口型,2
586,没,19
587,上,15
588,娃,12
589,仗,3
590,着,29
591,妖刀,2
592,高深,2
593,欺负,2
594,面瘫,8
595,迄今,2
596,迄今为止,2
597,为止,2
598,见,11
599,过,21
600,最,3
601,吐痰,2
602,。。。。。,2
603,机位,2
604,角度,3
605,太奇,3
606,奇怪,10
607,故意,9
608,拍,12
609,丑,2
610,坏人,2
611,血,5
612,吐,4
613,走,16
614,心,10
615,一本,2
616,一本正经,2
617,正经,3
618,端,2
619,但愿,2
620,没看,4
621,看到,10
622,演技,29
623,得,28
624,提高,2
625,个人,11
626,人主,2
627,主要,2
628,哪个,2
629,好奇,6
630,戏,17
631,扣发,2
632,发型师,2
633,钱,3
634,牛,10
635,喇,2
636,阿姨,3
637,好色,2
638,弄死,4
639,看上,2
640,借,4
641,玩,7
642,好不好,2
643,三个,2
644,应该,19
645,热乎,3
646,are,2
647,you,2
648,crazy,2
649,黑山,2
650,老妖,2
651,剧情,13
652,不够,10
653,腹,7
654,病,6
655,娇,3
656,刚好,2
657,中,13
658,xp,2
659,累,2
660,困,2
661,喝,22
662,差点,4
663,姑娘,10
664,脖子,11
665,玩玩,2
666,媳妇,12
667,不外,2
668,不外借,2
669,有底,2
670,底线,2
671,所以,13
672,称,2
673,却,7
674,还要,3
675,人家,14
676,过分,6
677,真够,2
678,口,2
679,痛快,2
680,吊打,9
681,电视,22
682,电视剧,22
683,剧里,2
684,家主,2
685,光环,2
686,弄,4
687,别人,6
688,主意,2
689,紧张,2
690,留下,2
691,5,121
692,法术,1
693,BGM,13
694,起起落落,1
695,起落,1
696,落落,1
697,老夫,1
698,心脏,7
699,赵子龙,1
700,没想,4
701,没想到,4
702,想到,8
703,卡哇伊,1
704,嗯,6
705,～,16
706,放心,1
707,非常,21
708,直奔,1
709,主题,1
710,上来,2
711,问,4
712,一段,3
713,心上,3
714,心上人,3
715,命中,4
716,命中注定,2
717,注定,2
718,昆明,3
719,朋友,16
720,报道,1
721,眼神,15
722,变,23
723,充电,7
724,五分,1
725,五分钟,1
726,通话,1
727,焯,6
728,叫,30
729,瞬间,3
730,回到,1
731,仙剑,3
732,仙剑三,2
733,神魔,1
734,井,3
735,东土,7
736,往,5
737,西天,4
738,取经,3
739,磕,11
740,吃豆腐,8
741,豆腐,19
742,搓手,1
743,宝,8
744,调色,1
745,师,1
746,该,5
747,鱿鱼,1
748,凭,2
749,本事,2
750,刷,5
751,到,21
752,第二,9
753,第二集,1
754,二集,2
755,剧本,1
756,编剧,2
757,嬉皮,1
758,嬉皮笑脸,1
759,皮笑,1
760,笑脸,1
761,疯狂,2
762,流汗,1
763,我家,1
764,oc,2
765,嘴形,1
766,太巧,3
767,单身,9
768,心动,59
769,结,6
770,印,3
771,不该,1
772,这么,41
773,话,14
774,原来,9
775,?!(>n<),1
776,需要,13
777,理由,11
778,陌生,1
779,陌生人,1
780,生人,2
781,恋人,1
782,giegie,1
783,7,2
784,拙荆,1
785,令,1
786,诸位,1
787,见笑,1
788,一记,1
789,直球,8
790,下集,1
791,一起,10
792,成都,1
793,AG,1
794,先,5
795,敬,1
796,数据,4
797,记住,4
798,人生,2
799,问来,1
800,不算,1
801,近,5
802,演,9
803,看完,3
804,完整,1
805,完整版,1
806,整版,1
807,短,6
808,穿越,5
809,措手,1
810,措手不及,1
811,用,10
812,猎魔,1
813,徽章,1
814,主动,6
815,王子,5
816,文,6
817,款,2
818,汉服,3
819,北,2
820,冥,1
821,神功,1
822,魔界,1
823,地图,3
824,bgm,17
825,等于,1
826,系列,1
827,像是,2
828,对比,1
829,继续,3
830,4,20
831,山,9
832,耳熟,1
833,直接,13
834,师父,1
835,大数,3
836,道,24
837,侣,22
838,你好,4
839,好呀,2
840,散修,1
841,咯,7
842,不知,7
843,静电,1
844,！！,39
845,耶,5
846,灵,8
847,剑,15
848,行,9
849,233333,1
850,绝,12
851,子,5
852,白衣,2
853,衣服,12
854,来电,1
855,喵,5
856,刚刚,5
857,草率,1
858,才,13
859,叮,1
860,从来,1
861,处,3
862,去处,1
863,靠近,1
864,能干,1
865,大事,1
866,握,12
867,草,22
868,单,2
869,循环,2
870,后面,3
871,虐,13
872,亲亲,5
873,6,4
874,有人,6
875,劫,43
876,程咬金,1
877,长,19
878,水机,3
879,机场,5
880,有毒,2
881,你老,2
882,168,1
883,165,1
884,绝配,1
885,这身,2
886,身高,3
887,而来,6
888,心里,2
889,未来,1
890,万,8
891,茜,3
892,即,3
893,实不相,5
894,实不相瞒,5
895,相瞒,5
896,十分,3
897,绿,4
898,兰,1
899,芳草,1
900,采,1
901,遗,1
902,嘿嘿,37
903,嘿嘿嘿,15
904,特,2
905,么,6
906,贫僧,1
907,前往,3
908,拜佛,2
909,求,10
910,经,2
911,贴,8
912,奉劝,1
913,这位,1
914,小道,2
915,别,15
916,说不定,2
917,不定,2
918,主义,1
919,主义者,1
920,懂,10
921,那位,6
922,汗,1
923,孩子,13
924,期待,4
925,糟糕,8
926,修道,8
927,修,2
928,平,3
929,腐,1
930,兔子,1
931,飞机,2
932,飞机场,1
933,率,1
934,触电,1
935,渡劫,4
936,生死,3
937,生死劫,3
938,白豆,1
939,做,13
940,甚,1
941,混,2
942,一派,1
943,专修,1
944,世界,5
945,第一,9
946,第一等,1
947,一等,1
948,功法,1
949,红衣服,1
950,妹妹,8
951,像,22
952,李,2
953,若,1
954,彤,3
955,岂,2
956,不妙,2
957,妙哉,2
958,天,6
959,Q,1
960,起,3
961,???,1
962,中情,1
963,情人,2
964,往西方,1
965,西方,2
966,涩,2
967,hehuanpai,1
968,喊,1
969,道路,1
970,说走就走,1
971,手,24
972,历,1
973,飞,1
974,羽,1
975,无名,1
976,无名之辈,1
977,之辈,1
978,播放,9
979,放量,8
980,高,13
981,太短,3
982,不够看,5
983,哥哥,5
984,算,2
985,快,17
986,贴上去,1
987,上去,13
988,她俩,4
989,脸,24
990,这样,16
991,天然,1
992,亲近,1
993,呗,6
994,ccc,1
995,慕,2
996,掌门,2
997,吧唧,7
998,一口,10
999,亲,11
1000,突然,12
1001,吓人,7
1002,修仙,7
1003,受,13
1004,.,36
1005,真命,1
1006,真命天女,1
1007,天女,1
1008,二位,2
1009,助兴,1
1010,某,2
1011,鬼,8
1012,遗言,1
1013,吉国,1
1014,国王,1
1015,水,13
1016,国际,1
1017,国际机场,1
1018,新鲜,1
1019,东西,4
1020,那么,7
1021,木头,5
1022,木头人,1
1023,头人,1
1024,百合,7
1025,姐妹,7
1026,掌门人,1
1027,门人,1
1028,橘,12
1029,势,5
1030,大好,5
1031,浴巾,9
1032,面前,1
1033,闷,1
1034,姬,7
1035,尖叫,2
1036,弹幕,38
1037,门边,1
1038,WC,2
1039,指路,2
1040,指路牌,1
1041,路牌,1
1042,露,1
1043,害怕,13
1044,补充,1
1045,糖分,1
1046,只顾,14
1047,呦,2
1048,跑,7
1049,刚才,7
1050,集,4
1051,元素,3
1052,视野,3
1053,「,1
1054,原,3
1055,多点,1
1056,鄙人,1
1057,刀背,1
1058,（（））,1
1059,妈咪,16
1060,哄,9
1061,还行,4
1062,味,5
1063,全,5
1064,MD,1
1065,念咒,1
1066,之后,1
1067,居然,6
1068,扇,2
1069,巴掌,3
1070,救,25
1071,音效,5
1072,增加,2
1073,现场,1
1074,发带,1
1075,一瞬,1
1076,一瞬间,1
1077,吓到,11
1078,物理,1
1079,驱鬼,1
1080,画质,1
1081,很棒,1
1082,辣,3
1083,演员,9
1084,不错,27
1085,疯,2
1086,当初,1
1087,仙剑奇,1
1088,奇侠传,1
1089,味儿,3
1090,随意,1
1091,清新,1
1092,脱俗,1
1093,太会,1
1094,很多,5
1095,仙侠,3
1096,剧,22
1097,一万,1
1098,一万倍,1
1099,万倍,1
1100,糖豆,2
1101,靠,13
1102,dy,1
1103,一幕,1
1104,幸好,1
1105,来看,2
1106,想为,1
1107,为了,4
1108,关注,2
1109,up,2
1110,砍下去,1
1111,下去,1
1112,吓,21
1113,跳,16
1114,胆小,2
1115,招,3
1116,超级,4
1117,耍,1
1118,为啥,7
1119,以后,2
1120,闪,2
1121,退,2
1122,啊哈,11
1123,施法,1
1124,帅呆了,1
1125,到处,2
1126,到处跑,2
1127,野草,1
1128,一集,4
1129,悬念,1
1130,怕,12
1131,回,1
1132,基本,2
1133,回不来,1
1134,不来,3
1135,背景,4
1136,背景音乐,4
1137,音乐,8
1138,斗地主,1
1139,地主,1
1140,还有,6
1141,有救,1
1142,吓死,16
1143,结界,1
1144,一早,1
1145,早年,1
1146,早年间,1
1147,年间,1
1148,珍贵,1
1149,影像,1
1150,护驾,2
1151,耳,1
1152,耳光,2
1153,？？！,1
1154,免费,1
1155,麦,8
1156,丽,8
1157,素,10
1158,好评,2
1159,hhhhhhh,2
1160,久,3
1161,敏,3
1162,证明,4
1163,乐死,1
1164,对不起,1
1165,大声,1
1166,55555,2
1167,同道,2
1168,同道中人,2
1169,中人,2
1170,嘴,9
1171,饿,2
1172,极,2
1173,QQ,3
1174,糖,3
1175,短剧,3
1176,卷,1
1177,！！！！,9
1178,支线,2
1179,get,2
1180,买一送一,1
1181,spa,6
1182,组,3
1183,2,3
1184,跟我来,1
1185,三组,1
1186,四组,1
1187,组分,1
1188,分别,1
1189,左右,2
1190,左右侧,1
1191,右侧,1
1192,迂回,1
1193,这儿,2
1194,打人,1
1195,一巴掌,1
1196,甜枣,1
1197,临,2
1198,兵,3
1199,斗,5
1200,者,5
1201,皆,5
1202,阵列,3
1203,前行,2
1204,淼,4
1205,外边,1
1206,把手,2
1207,里边,1
1208,外翻,1
1209,挣脱,1
1210,脱开,1
1211,你俩,3
1212,抱,9
1213,兵临,1
1214,九,1
1215,真言,1
1216,哎呀,2
1217,玩意,2
1218,道长,1
1219,没道理,1
1220,道理,2
1221,艾,1
1222,同学,1
1223,不服,1
1224,德,6
1225,爷,1
1226,护,9
1227,体,8
1228,新任,1
1229,任务,6
1230,探索,1
1231,村,7
1232,hhhhhhhhhhhhh,1
1233,西,2
1234,内,4
1235,通天,1
1236,教主,1
1237,:?,1
1238,牛黄,2
1239,清心,6
1240,丸,4
1241,认准,1
1242,同仁,1
1243,同仁堂,1
1244,哄哄,1
1245,刀,12
1246,收得,1
1247,轻盈,2
1248,凉,2
1249,神仙,3
1250,水平,1
1251,气氛,4
1252,把握,1
1253,审美,1
1254,般配,1
1255,进度,3
1256,进度条,2
1257,过半,1
1258,崇拜,1
1259,小眼,1
1260,,2
1261,加,4
1262,每天,1
1263,晚自习,1
1264,自习,1
1265,习练,1
1266,练字,1
1267,梅开二度,1
1268,二度,1
1269,卷起,2
1270,制作,9
1271,某些,8
1272,偶,5
1273,用心,3
1274,镜头,3
1275,好酷,1
1276,yooooooo,1
1277,启动,1
1278,接,1
1279,化,6
1280,是否,1
1281,接受,1
1282,寻找,1
1283,老奶奶,11
1284,奶奶,20
1285,奶奶家,1
1286,家人,7
1287,恰到好处,2
1288,好处,2
1289,不过,5
1290,夸张,1
1291,挺,17
1292,同情,1
1293,同情心,1
1294,超越,1
1295,力,1
1296,持续,1
1297,您,4
1298,导航,1
1299,CP,1
1300,获得,1
1301,惊奇,1
1302,队长,1
1303,暴打,1
1304,怕怕,1
1305,渴死,2
1306,吓出,1
1307,出国,1
1308,国粹,1
1309,好吃,3
1310,五毛,4
1311,前方,3
1312,虽然,6
1313,只是,2
1314,一些,4
1315,五毛钱,1
1316,毛钱,1
1317,但,12
1318,津津,1
1319,津津有味,1
1320,有味,1
1321,⊙66⊙！,1
1322,恐怖,8
1323,控,1
1324,台,1
1325,哼,1
1326,伸腿,2
1327,瞪眼,2
1328,从此,1
1329,看来,3
1330,实学,1
1331,学艺,1
1332,这场,2
1333,场景,3
1334,阵,18
1335,金钱,1
1336,大比,1
1337,兜,1
1338,大娘,1
1339,尬,7
1340,哈,3
1341,弱,1
1342,强,7
1343,0,6
1344,法力,1
1345,太弱,1
1346,坐上,1
1347,路,1
1348,粗言,3
1349,鄙,3
1350,语,4
1351,泰戈尔,1
1352,戈尔,1
1353,党,1
1354,题材,1
1355,奇特,1
1356,因为,18
1357,疫情,2
1358,封,3
1359,看好,4
1360,冲冲,2
1361,记,1
1362,记得,1
1363,得有,1
1364,哪,9
1365,弓弩,1
1366,弓弩手,1
1367,弩手,1
1368,占领,1
1369,制高点,1
1370,高点,1
1371,盾牌,1
1372,探路,2
1373,槊,1
1374,护法,2
1375,上清,1
1376,芜湖,6
1377,写,3
1378,小说,2
1379,男,12
1380,诚,2
1381,腻歪,1
1382,情景,1
1383,111111,1
1384,有事,2
1385,有事吗,1
1386,没事,4
1387,溜溜,5
1388,梅,2
1389,？？？？,6
1390,肝病,2
1391,表现,2
1392,木,7
1393,老婆婆,1
1394,婆婆,1
1395,摸,12
1396,再来,3
1397,句,3
1398,个头,4
1399,确诊,1
1400,诊病,1
1401,病例,1
1402,枣阳,1
1403,汉城,4
1404,震惊,1
1405,路边,1
1406,与,4
1407,冲突,1
1408,竟,1
1409,掐死,1
1410,究竟,2
1411,人性,3
1412,扭曲,2
1413,道德,2
1414,沦丧,1
1415,赵,1
1416,嘉,1
1417,三水,2
1418,老公,6
1419,呵呵,1
1420,碰,3
1421,最大,2
1422,侮辱,1
